Date: 2018/03/22, Time: 14:47:41
RAW SENSOR UNITS FILE
________________________________
Time,GR31309,GR31310,X109928
1.5222848565344951e+09,3.80382100e+00,3.98970600e+00,3.18406600e+01
1.5222848754578400e+09,3.80509300e+00,3.99062300e+00,3.18651400e+01
1.5222848943612120e+09,3.80510500e+00,3.98635500e+00,3.18656100e+01
1.5222849132555599e+09,3.80651300e+00,3.99173500e+00,3.18741700e+01
1.5222849321651850e+09,3.80741300e+00,3.99404800e+00,3.18613900e+01
1.5222849510602951e+09,3.80658600e+00,3.98911300e+00,3.19004500e+01
1.5222849699745569e+09,3.80176700e+00,3.98874300e+00,3.18539600e+01
1.5222849888843570e+09,3.80158000e+00,3.99306100e+00,3.18685800e+01
1.5222850077987840e+09,3.80631700e+00,3.98905500e+00,3.18933700e+01
1.5222850266890490e+09,3.80334300e+00,3.99333900e+00,3.18781800e+01
1.5222850456029301e+09,3.80369800e+00,3.98930300e+00,3.18417900e+01
1.5222850645207379e+09,3.80644900e+00,3.98723100e+00,3.18623500e+01
1.5222850834306870e+09,3.80299900e+00,3.99024300e+00,3.18591700e+01
1.5222851023171971e+09,3.80800000e+00,3.99169300e+00,3.18638500e+01
1.5222851212113090e+09,3.80461400e+00,3.98588300e+00,3.18732000e+01
1.5222851401276879e+09,3.80730500e+00,3.99167100e+00,3.18547400e+01
1.5222851590452120e+09,3.80878500e+00,3.99143300e+00,3.18785700e+01
1.5222851779563849e+09,3.80779000e+00,3.99173000e+00,3.18823300e+01
1.5222851968651750e+09,3.80123400e+00,3.98946600e+00,3.18582600e+01
1.5222852157470200e+09,3.80766500e+00,3.98657600e+00,3.18744400e+01
1.5222852346691830e+09,3.80642100e+00,3.99160100e+00,3.18846800e+01
1.5222852535571940e+09,3.80299300e+00,3.98965500e+00,3.18738500e+01
1.5222852724431119e+09,3.80567400e+00,3.99559400e+00,3.18719200e+01
1.5222852913284340e+09,3.80411500e+00,3.98649100e+00,3.18592900e+01
1.5222853102251761e+09,3.80668000e+00,3.98966300e+00,3.19021300e+01
1.5222853291412439e+09,3.80200800e+00,3.98811000e+00,3.18706600e+01
1.5222853480557361e+09,3.80461600e+00,3.99139000e+00,3.18780100e+01
1.5222853669708149e+09,3.80561600e+00,3.98992200e+00,3.18630000e+01
1.5222853858787460e+09,3.80360400e+00,3.98968100e+00,3.18956400e+01
1.5222854047719779e+09,3.80231100e+00,3.99116700e+00,3.18546100e+01
1.5222854236818399e+09,3.80323800e+00,3.99321000e+00,3.18795900e+01
1.5222854425722070e+09,3.80499100e+00,3.99335200e+00,3.18773000e+01
1.5222854614853520e+09,3.80710900e+00,3.98770100e+00,3.18846600e+01
1.5222854803678830e+09,3.80668600e+00,3.98957400e+00,3.18631300e+01
1.5222854992719281e+09,3.80370100e+00,3.99112900e+00,3.18854900e+01
1.5222855181778319e+09,3.80813900e+00,3.99032800e+00,3.18677200e+01
1.5222855370971529e+09,3.80513800e+00,3.98941300e+00,3.18450900e+01
1.5222855560131950e+09,3.80284800e+00,3.98538500e+00,3.18773000e+01
1.5222855749275899e+09,3.80477600e+00,3.98693600e+00,3.18570900e+01
1.5222855938364379e+09,3.80199600e+00,3.99060700e+00,3.18692700e+01
1.5222856127228980e+09,3.80646100e+00,3.99040400e+00,3.18420000e+01
1.5222856316076691e+09,3.80230100e+00,3.98594100e+00,3.18888300e+01
1.5222856505009711e+09,3.80480800e+00,3.99002700e+00,3.18527900e+01
1.5222856694131899e+09,3.80442700e+00,3.99621100e+00,3.18686400e+01
1.5222856883046761e+09,3.80381600e+00,3.99510400e+00,3.18478300e+01
1.5222857072211959e+09,3.80962200e+00,3.99037300e+00,3.18738800e+01
1.5222857261293530e+09,3.80705100e+00,3.98820700e+00,3.18851400e+01
1.5222857450267560e+09,3.80660800e+00,3.99233800e+00,3.18618900e+01
1.5222857639435639e+09,3.80418500e+00,3.98603600e+00,3.18833700e+01
1.5222857828433781e+09,3.80185400e+00,3.99186500e+00,3.18567600e+01
1.5222858017447510e+09,3.80221800e+00,3.99155000e+00,3.18554600e+01
1.5222858206547871e+09,3.80386200e+00,3.99148500e+00,3.18527600e+01
1.5222858395694611e+09,3.80670300e+00,3.99304700e+00,3.18721400e+01
1.5222858584811990e+09,3.80858800e+00,3.99219900e+00,3.18751600e+01
1.5222858773961170e+09,3.80302800e+00,3.99005800e+00,3.18881300e+01
1.5222858962937770e+09,3.80249900e+00,3.99188900e+00,3.18748400e+01
1.5222859152048061e+09,3.80462300e+00,3.98414000e+00,3.18802500e+01
1.5222859341215780e+09,3.80397700e+00,3.99007800e+00,3.18826900e+01
1.5222859530364921e+09,3.80864400e+00,3.99241200e+00,3.18692000e+01
1.5222859719478550e+09,3.80349800e+00,3.98831500e+00,3.18716000e+01
1.5222859908562019e+09,3.80400700e+00,3.98799600e+00,3.18917200e+01
1.5222860097495821e+09,3.80429000e+00,3.99309600e+00,3.18639200e+01
1.5222860286636801e+09,3.80423800e+00,3.98830800e+00,3.18793800e+01
1.5222860475826991e+09,3.80500000e+00,3.98972700e+00,3.18844500e+01
1.5222860664946649e+09,3.80492700e+00,3.99170400e+00,3.18723700e+01
1.5222860854080019e+09,3.80275400e+00,3.99315700e+00,3.18486700e+01
1.5222861043052089e+09,3.80686500e+00,3.99063300e+00,3.18743300e+01
1.5222861232176020e+09,3.80650900e+00,3.99444100e+00,3.18715400e+01
1.5222861421319289e+09,3.80564700e+00,3.98699900e+00,3.18612900e+01
1.5222861610473011e+09,3.80349800e+00,3.98998100e+00,3.18828800e+01
1.5222861799673541e+09,3.80518400e+00,3.98760600e+00,3.18637700e+01
1.5222861988708799e+09,3.80269100e+00,3.98746600e+00,3.18815100e+01
1.5222862177626710e+09,3.80639600e+00,3.98469100e+00,3.18799300e+01
1.5222862366743820e+09,3.80181600e+00,3.98873700e+00,3.18587400e+01
1.5222862555630300e+09,3.80755300e+00,3.99465700e+00,3.18661100e+01
1.5222862744771881e+09,3.80689900e+00,3.98842300e+00,3.18719200e+01
1.5222862933917389e+09,3.80381900e+00,3.99054500e+00,3.18777900e+01
1.5222863122856400e+09,3.80483300e+00,3.99160400e+00,3.18609100e+01
1.5222863311953821e+09,3.80630100e+00,3.99282100e+00,3.18950400e+01
1.5222863501167271e+09,3.80736400e+00,3.99211000e+00,3.18772600e+01
1.5222863690323889e+09,3.80697700e+00,3.99145800e+00,3.18702700e+01
1.5222863879429669e+09,3.80248800e+00,3.99044200e+00,3.18579400e+01
1.5222864068571780e+09,3.80493100e+00,3.98746200e+00,3.18809200e+01
1.5222864257711320e+09,3.80310800e+00,3.98715800e+00,3.18845600e+01
1.5222864446877029e+09,3.80615300e+00,3.98724500e+00,3.18699500e+01
1.5222864636050110e+09,3.80187900e+00,3.99205900e+00,3.18653000e+01
1.5222864825146389e+09,3.80555100e+00,3.98996800e+00,3.18719000e+01
1.5222865014039891e+09,3.80606400e+00,3.98639500e+00,3.18777600e+01
1.5222865203236649e+09,3.80731000e+00,3.99194600e+00,3.18743200e+01
1.5222865392411921e+09,3.80619500e+00,3.98842700e+00,3.18790400e+01
1.5222865581525509e+09,3.80624800e+00,3.99172900e+00,3.18780700e+01
1.5222865770714600e+09,3.80807600e+00,3.98783600e+00,3.18619200e+01
1.5222865959822259e+09,3.80838800e+00,3.99168100e+00,3.18809300e+01
1.5222866148915589e+09,3.80559600e+00,3.98964000e+00,3.18664600e+01
1.5222866337819071e+09,3.80595700e+00,3.99012000e+00,3.18661300e+01
1.5222866526971731e+09,3.80372400e+00,3.99008900e+00,3.18601300e+01
1.5222866716106040e+09,3.80508300e+00,3.98694800e+00,3.18717000e+01
1.5222866905010130e+09,3.80453700e+00,3.99276600e+00,3.18751700e+01
1.5222867094092021e+09,3.80254600e+00,3.99118400e+00,3.18750100e+01
1.5222867283067639e+09,3.80415500e+00,3.98902800e+00,3.18872300e+01
1.5222867472169671e+09,3.80122200e+00,3.99199600e+00,3.18807900e+01
1.5222867661352069e+09,3.80496800e+00,3.99058000e+00,3.18819800e+01
1.5222867850516729e+09,3.80530200e+00,3.99139500e+00,3.18803000e+01
1.5222868039730489e+09,3.80449500e+00,3.98632100e+00,3.18581000e+01
1.5222868228713210e+09,3.80415400e+00,3.99013500e+00,3.18953100e+01
1.5222868417617581e+09,3.80367200e+00,3.98731700e+00,3.18535000e+01
1.5222868606530600e+09,3.80921700e+00,3.99087700e+00,3.18759400e+01
1.5222868795667241e+09,3.80767800e+00,3.98782300e+00,3.18737300e+01
1.5222868984543381e+09,3.80485700e+00,3.98669900e+00,3.18689400e+01
1.5222869173455310e+09,3.80148100e+00,3.98850300e+00,3.18465000e+01
1.5222869362604289e+09,3.80418800e+00,3.98737100e+00,3.18621200e+01
1.5222869551780360e+09,3.80389300e+00,3.98805600e+00,3.18515200e+01
1.5222869740953920e+09,3.80257500e+00,3.98640600e+00,3.18738000e+01
1.5222869930063360e+09,3.80403200e+00,3.99009900e+00,3.18765100e+01
1.5222870119138050e+09,3.80274000e+00,3.99105200e+00,3.18580400e+01
1.5222870308051839e+09,3.80739500e+00,3.98993900e+00,3.18613000e+01
1.5222870497252009e+09,3.80732600e+00,3.99054200e+00,3.18587900e+01
1.5222870686338320e+09,3.80301100e+00,3.99330600e+00,3.18929800e+01
1.5222870875226450e+09,3.80385600e+00,3.98783500e+00,3.18409600e+01
1.5222871064085550e+09,3.80839300e+00,3.99350600e+00,3.18829500e+01
1.5222871253027380e+09,3.80615800e+00,3.98683700e+00,3.18686000e+01
1.5222871442200890e+09,3.80745100e+00,3.99155500e+00,3.18635600e+01
1.5222871631358111e+09,3.80145800e+00,3.98843300e+00,3.18712800e+01
1.5222871820451720e+09,3.80766100e+00,3.98848400e+00,3.18789200e+01
