# 4K Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523594993000000000e+09 1.725229999999999961e+02
1.523595053000000000e+09 1.722740000000000009e+02
1.523595113000000000e+09 1.717920000000000016e+02
1.523595174000000000e+09 1.715430000000000064e+02
1.523595234000000000e+09 1.713029999999999973e+02
1.523595294000000000e+09 1.708110000000000070e+02
1.523595354000000000e+09 1.705699999999999932e+02
1.523595414000000000e+09 1.700809999999999889e+02
1.523595474000000000e+09 1.698439999999999941e+02
1.523595535000000000e+09 1.693700000000000045e+02
1.523595595000000000e+09 1.691279999999999859e+02
1.523595655000000000e+09 1.688940000000000055e+02
1.523595715000000000e+09 1.684209999999999923e+02
1.523595775000000000e+09 1.681839999999999975e+02
1.523595835000000000e+09 1.677069999999999936e+02
1.523595895000000000e+09 1.674730000000000132e+02
1.523595956000000000e+09 1.670020000000000095e+02
1.523596016000000000e+09 1.667599999999999909e+02
1.523596076000000000e+09 1.665219999999999914e+02
1.523596136000000000e+09 1.660529999999999973e+02
1.523596196000000000e+09 1.658120000000000118e+02
1.523596257000000000e+09 1.653400000000000034e+02
1.523596317000000000e+09 1.651009999999999991e+02
1.523596377000000000e+09 1.646399999999999864e+02
1.523596437000000000e+09 1.644079999999999870e+02
1.523596498000000000e+09 1.641769999999999925e+02
1.523596558000000000e+09 1.637230000000000132e+02
1.523596618000000000e+09 1.634879999999999995e+02
1.523596678000000000e+09 1.630310000000000059e+02
1.523596738000000000e+09 1.628019999999999925e+02
1.523596799000000000e+09 1.623350000000000080e+02
1.523596859000000000e+09 1.621100000000000136e+02
1.523596919000000000e+09 1.616539999999999964e+02
1.523596979000000000e+09 1.614180000000000064e+02
1.523597039000000000e+09 1.611879999999999882e+02
1.523597099000000000e+09 1.607299999999999898e+02
1.523597159000000000e+09 1.604970000000000141e+02
1.523597220000000000e+09 1.600380000000000109e+02
1.523597280000000000e+09 1.598139999999999930e+02
1.523597340000000000e+09 1.593679999999999950e+02
1.523597400000000000e+09 1.591399999999999864e+02
1.523597460000000000e+09 1.589219999999999970e+02
1.523597521000000000e+09 1.584759999999999991e+02
1.523597581000000000e+09 1.582460000000000093e+02
1.523597641000000000e+09 1.577990000000000066e+02
1.523597701000000000e+09 1.575740000000000123e+02
1.523597761000000000e+09 1.571220000000000141e+02
